time_stamp,sensor_index,pm2.5_cf_1_60minute_a,pm2.5_cf_1_60minute_b
1718244000,102632,7.771,6.98
1718254800,102632,10.282,9.394
1718312400,102632,4.582,4.047
1718211600,102632,4.236,3.484
1718168400,102632,12.487,11.196
1718157600,102632,9.242,8.256
1718229600,102632,4.792,4.22
1718222400,102632,4.855,4.267
1718197200,102632,5.947,5.184
1718208000,102632,4.301,3.635
1717646400,102632,16.024,15.554
1717934400,102632,12.765,12.044
1717923600,102632,8.834,8.036
1717941600,102632,4.54,3.979
1717830000,102632,10.888,9.533
1717840800,102632,9.436,8.355
1717869600,102632,4.186,3.55
1717866000,102632,3.934,3.162
1717808400,102632,2.761,2.083
